worktree	head	branch	registration	path_state	locked	disposition
/tmp/cs-7.4b8r-discovery	0c34e18c9e985fffe7fc1ac80385ea0729f4f02e	codex/m7-rust-contract-discovery	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b8v	ca622cc12fcd3fe6ebebdaa12d8f150c3573a22c	codex/7.4b8v-platform-evidence	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b8w	875b104ef9cafa22abf5996cc9720b51c9c3394f	codex/m7-row7-decomposition	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b8x	e254b9063b3704871ba222c589286cd041a7e5f5	codex/m7-rust-binding-workspace	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b8y	94a2a78e3469aa50e4eceaabd1a8d0f4ad749615	codex/m7-binding-artifact-composition	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b8z	847de5f8126663c7aaf0bdf04f5bf6911ee7b577	codex/m7-binding-artifact-compatibility	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b9-ci-replan	5d53a357145152aafca3ab6d6dd3ed418e1b9bef	codex/m7-ci-orchestration-replan	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b9-format-replan	70524c9fcf1ae1c5de2f218ee168d671e3091a8e	codex/m7-formatting-replan	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b9-replan	4c0b55b815a58ea6db92e7eccdba91be8be0199d	codex/m7-tooling-typescript-replan	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b9a	4d72a992c013469f1593d17356a1c18453d96673	codex/m7-tooling-decomposition	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b9b	d850a145ec5628be65324192b9379049eefd375d	codex/m7-tooling-owner	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b9c	5a08d07df0920c5112c06eb89726203c3288798f	codex/m7-tooling-commit-route	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b9d	7cb221644b34be34a5207d319c93eee9ede9d245	codex/m7-tooling-recipes	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b9e	e429a82fe09931123dc74d06435aa9391711d044	codex/m7-tooling-editor-policy	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b9f	7bad8d37206e72d597a8c9ecaab0bd6ba753c718	codex/m7-tooling-editor-recipes	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b9g	fd0af626a19c8b26919b4656d737741288135c44	codex/m7-tooling-lint-policy	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b9h	b847cd8598f3eb78f2aaf45a540cb8364c965b83	codex/m7-tooling-lint-recipes	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b9i	228079006d13e7ecf03f5a59910bb0cbe9b5c47c	codex/m7-typescript-tooling-split	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b9j	96eec500617fd6efdde65f178e2274f5d3be8139	codex/m7-formatting-policy	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b9k	e176190fcc3187778ee842c5d5f45fcbbd3f000b	codex/m7-formatter-command-recipes	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b9l	9961bae4b81b1908c6a74eba30288a189ac3c867	codex/m7-verification-gate-meaning	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4bag	b7cb41936dc2bfc3577f5f7ba12b85a84c83aea7	codex/m7-rust-binding-package-placement	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4bah	7e2c204e62eb46cc7c14f58529a6aeca54e586ea	codex/m7-rust-security-0826	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4c-plan	6e21cc46ea34f95d4019e7d9b007343900ed2884	detached	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4c2	8318201fdd04fa5a1cc97b1258fc1b8b8fb83137	detached	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4c3-1	f2c3de58b98d7b3e7018cf9d200fe8b988fda721	detached	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4c3-2	6c323f6f001ec36c359a65b333358c57824b08ee	detached	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4c3-commit-index	d32134152277704c3fd5a63a38bd842b7fa94f97	detached	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4c3-documentation	29809b82a87f012c92cfb28d3aa60239b7d301dc	detached	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4c3-documentation-checker	d8fca160ed859c0a0e9ac7c840c45e8755f3e0d3	detached	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4c3-documentation-final	cfd3a802f8808286e2128009c9030ca963d29d8f	detached	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4c3-documentation-index	cfabcda15709b3aa72160ef6fc8202903a44ec28	detached	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4c3-plan-index	2526282a39ab72a471f5ee5503cc5a2591f8c2a6	detached	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4c3-row41-repair	1eb52f58eb44de73372432585eeca4240417c021	detached	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4c3-source-checker-replan	cfabcda15709b3aa72160ef6fc8202903a44ec28	detached	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4c3p	7dc3ddf2bb922a96cd561a7702b51f30408dddf8	detached	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4c3r	d7d9c4c6a338c7ed88dcf204187aaed5d3b3982c	detached	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4c3rh	3fa05479ded212364100946599874f642ab87cba	detached	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4c3v1	80c145ad043be6deb03e88259cdf0360ee2e94cf	detached	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4c3v1-integrated	5c63cd502ced0bf3c6d52c47362cbb887ddbc7fc	detached	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4c3v1r	80c145ad043be6deb03e88259cdf0360ee2e94cf	detached	prunable	missing	no	candidate-prune-registration
/tmp/cs-child-compaction	b2e65d2762739fdda6abfde482b4dc1b3c715b8f	detached	prunable	missing	no	candidate-prune-registration
/tmp/cs-commit-preflight	f940262f9b6530bc2c2448de325c00ecc054736b	detached	prunable	missing	no	candidate-prune-registration
/tmp/cs-cross-platform-replan	74d462210e47d966e8b0d07043f91c408bb02401	detached	prunable	missing	no	candidate-prune-registration
/tmp/cs-fresh-package	79323ea27ed311e0f2c53ddfae4f8dbb93ece555	detached	prunable	missing	no	candidate-prune-registration
/tmp/cs-generic-edge-correctness	0b21ccc526d1496c6855790f47db426c7c909c94	codex/generic-edge-correctness	prunable	missing	no	candidate-prune-registration
/tmp/cs-generic-edge-system	b3396023ff685f1a27056b3c8eed2b881e19e365	codex/generic-edge-system	prunable	missing	no	candidate-prune-registration
/tmp/cs-git-branch-lifecycle	55f42c03cb6d94ef770fc64a9907ae99991276be	codex/git-branch-lifecycle-policy	prunable	missing	no	candidate-prune-registration
/tmp/cs-i10-accept	86d35ca1b7453f14b143773fc18a1587299d5db2	detached	prunable	missing	no	candidate-prune-registration
/tmp/cs-i10-admit	5e17b41141ed6c5bb68a5102df95de39cb930e77	detached	prunable	missing	no	candidate-prune-registration
/tmp/cs-i10-admit2	0f7b4b8818cd3f23e0e1818c481fea30097877eb	detached	prunable	missing	no	candidate-prune-registration
/tmp/cs-i10-preflight	cb093d7f56b08387640db5f9df69ebf6867a13ea	detached	prunable	missing	no	candidate-prune-registration
/tmp/cs-i11-discovery	f7acddf60cd39c3d2e36477b13e5d0c5d73a4d9b	detached	prunable	missing	no	candidate-prune-registration
/tmp/cs-integrate-concurrency	9140457c36434343aa2e346d89ca8a71f21a9a31	detached	prunable	missing	no	candidate-prune-registration
/tmp/cs-m2p5	fc6b1a34d69523aed164a4e01d575c8f64e98d13	detached	prunable	missing	no	candidate-prune-registration
/tmp/cs-m6-c1-admission	434ea84e64b6ca88b705920aa16164068500d1a2	codex/m6-c1-admission	prunable	missing	no	candidate-prune-registration
/tmp/cs-m6-c1-implementation	edd07142e6cef6920968c3e75dcb9990df41b317	codex/m6-c1-implementation	prunable	missing	no	candidate-prune-registration
/tmp/cs-m6-c2-admission	6418bd3c5508665af4ce3db8f91dd5d0d6fd3082	codex/m6-c2-admission	prunable	missing	no	candidate-prune-registration
/tmp/cs-m6-c2-implementation	7c1db35ecf385bedec9ae8afebc60af2c842a822	codex/m6-c2-implementation	prunable	missing	no	candidate-prune-registration
/tmp/cs-m6-c3-admission	416d6beecbf35f51524cae4b1ac733455d57b4d2	codex/m6-c3-admission	prunable	missing	no	candidate-prune-registration
/tmp/cs-m6-c3-implementation	067a7f3e40cc6ddc15a0f504a1a180c054bb6ea7	codex/m6-c3-implementation	prunable	missing	no	candidate-prune-registration
/tmp/cs-m6-c4-admission	0e70d5e22189ab361ac039ec7a97a2ea25b10048	codex/m6-c4-admission	prunable	missing	no	candidate-prune-registration
/tmp/cs-m6-c4-implementation	15eadf60e70fbf12e76978267ae83396b773d185	codex/m6-c4-implementation	prunable	missing	no	candidate-prune-registration
/tmp/cs-m6-e1-impl	a57ab456f801adff1855ee0fcd4e4a26fc0bf983	detached	prunable	missing	no	candidate-prune-registration
/tmp/cs-m6-e1-replan	c5d7dc9cabe3045fa90c5e43de8880f9429e1eb7	detached	prunable	missing	no	candidate-prune-registration
/tmp/cs-m6-i1-impl	ab19877d6850ddd0f7672904807a24e4a48a2039	detached	prunable	missing	no	candidate-prune-registration
/tmp/cs-m6-i1-plan	3089ae783f51f6d76f07b4411653a787d4deb651	detached	prunable	missing	no	candidate-prune-registration
